,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name
DRAM Compute Power,1.0135639296970778,1.9257714664244474,3.851542932848895,6.419238221414827,9.628857332122239,19.257714664244478,19.257714664244478,2.026234851526582,3.8498462179005046,7.699692435801009,12.832820726335013,19.249231089502523,38.498462179005045,38.498462179005045,4.0489023881737145,7.692914537530058,15.385829075060116,25.643048458433523,38.46457268765028,76.92914537530056,76.92914537530056,8.097804776347429,15.385829075060116,30.77165815012023,51.286096916867045,76.92914537530056,153.85829075060113,153.85829075060113,16.195609552694858,30.77165815012023,61.54331630024046,102.57219383373409,153.85829075060113,307.71658150120226,307.71658150120226,32.391219105389716,61.54331630024046,123.08663260048093,205.14438766746818,307.71658150120226,615.4331630024045,615.4331630024045,63.88268212451859,121.37709603658536,242.7541920731707,404.59032012195115,606.8854801829266,1213.7709603658532,1213.7709603658532
Clocks Power,3.5670731707317076,5.350609756097562,8.91768292682927,16.051829268292686,30.320121951219516,58.85670731707317,115.9298780487805,5.350609756097562,7.134146341463415,10.701219512195124,17.83536585365854,32.103658536585364,60.640243902439025,117.71341463414633,8.91768292682927,10.701219512195124,14.26829268292683,21.402439024390247,35.67073170731708,64.20731707317074,121.28048780487806,16.05182926829269,17.83536585365854,21.402439024390247,28.53658536585366,42.804878048780495,71.34146341463416,128.41463414634148,30.32012195121952,32.10365853658537,35.67073170731708,42.804878048780495,57.07317073170732,85.60975609756099,142.68292682926833,58.85670731707318,60.64024390243903,64.20731707317074,71.34146341463416,85.60975609756099,114.14634146341464,171.21951219512198,115.9298780487805,117.71341463414636,121.28048780487808,128.41463414634148,142.68292682926833,171.21951219512198,228.2926829268293
Rx AFE Power,2.1402439024390243,4.280487804878049,8.560975609756097,17.121951219512194,34.24390243902439,68.48780487804878,136.97560975609755,2.1402439024390247,4.280487804878049,8.560975609756097,17.121951219512194,34.24390243902438,68.48780487804876,136.97560975609753,2.1402439024390247,4.280487804878049,8.560975609756097,17.121951219512194,34.24390243902439,68.48780487804878,136.97560975609755,2.1402439024390247,4.280487804878049,8.560975609756097,17.121951219512194,34.24390243902439,68.48780487804878,136.97560975609755,2.1402439024390247,4.280487804878049,8.560975609756097,17.121951219512194,34.24390243902439,68.48780487804878,136.97560975609755,2.1402439024390247,4.280487804878049,8.560975609756097,17.121951219512194,34.24390243902439,68.48780487804878,136.97560975609755,2.1402439024390243,4.2804878048780495,8.560975609756099,17.121951219512194,34.24390243902439,68.48780487804878,136.97560975609755
MRMs Area,0.0008,0.0012000000000000001,0.002,0.0036000000000000003,0.0068000000000000005,0.0132,0.026000000000000002,0.0012000000000000001,0.0016,0.0024000000000000002,0.004,0.007200000000000001,0.013600000000000001,0.0264,0.002,0.0024000000000000002,0.0032,0.0048000000000000004,0.008,0.014400000000000001,0.027200000000000002,0.0036000000000000003,0.004,0.0048000000000000004,0.0064,0.009600000000000001,0.016,0.028800000000000003,0.0068000000000000005,0.007200000000000001,0.008,0.009600000000000001,0.0128,0.019200000000000002,0.032,0.0132,0.013600000000000001,0.014400000000000001,0.016,0.019200000000000002,0.0256,0.038400000000000004,0.026000000000000002,0.0264,0.027200000000000002,0.028800000000000003,0.032,0.038400000000000004,0.0512
Crossbar Array Area,0.0064,0.0128,0.0256,0.0512,0.1024,0.2048,0.4096,0.0128,0.0256,0.0512,0.1024,0.2048,0.4096,0.8192,0.0256,0.0512,0.1024,0.2048,0.4096,0.8192,1.6384,0.0512,0.1024,0.2048,0.4096,0.8192,1.6384,3.2768,0.1024,0.2048,0.4096,0.8192,1.6384,3.2768,6.5536,0.2048,0.4096,0.8192,1.6384,3.2768,6.5536,13.1072,0.4096,0.8192,1.6384,3.2768,6.5536,13.1072,26.2144
Tx Power Splitters Area,9e-05,9e-05,9e-05,9e-05,9e-05,9e-05,9e-05,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00189,0.00189,0.00189,0.00189,0.00189,0.00189,0.00189,0.00381,0.00381,0.00381,0.00381,0.00381,0.00381,0.00381,0.0076500000000000005,0.0076500000000000005,0.0076500000000000005,0.0076500000000000005,0.0076500000000000005,0.0076500000000000005,0.0076500000000000005
Grating Coupler Area,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
Photonic Power Single PD,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PCM OMA,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13
MRM Tx OMA,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
