,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name,filler name
DRAM Compute Power,3.6831122448979587,7.3662244897959175,14.732448979591835,29.46489795918367,58.92979591836734,117.85959183673468,235.71918367346936,7.3662244897959175,14.732448979591835,29.46489795918367,58.92979591836734,117.85959183673468,235.71918367346936,471.4383673469387,14.732448979591835,29.46489795918367,58.92979591836734,117.85959183673468,235.71918367346936,471.4383673469387,942.8767346938774,29.46489795918367,58.92979591836734,117.85959183673468,235.71918367346936,471.4383673469387,942.8767346938774,1885.7534693877549,58.92979591836734,117.85959183673468,235.71918367346936,471.4383673469387,942.8767346938774,1885.7534693877549,3771.5069387755098,117.85959183673468,235.71918367346936,471.4383673469387,942.8767346938774,1885.7534693877549,3771.5069387755098,7543.0138775510195,235.71918367346936,471.4383673469387,942.8767346938774,1885.7534693877549,3771.5069387755098,7543.0138775510195,15086.027755102039
Clocks Power,2.7551020408163267,4.13265306122449,6.887755102040817,12.397959183673471,23.418367346938776,45.45918367346939,89.54081632653062,4.13265306122449,5.510204081632653,8.26530612244898,13.775510204081634,24.795918367346943,46.83673469387755,90.91836734693878,6.887755102040817,8.26530612244898,11.020408163265307,16.53061224489796,27.551020408163268,49.591836734693885,93.6734693877551,12.397959183673471,13.775510204081634,16.53061224489796,22.040816326530614,33.06122448979592,55.102040816326536,99.18367346938777,23.418367346938776,24.795918367346943,27.551020408163268,33.06122448979592,44.08163265306123,66.12244897959184,110.20408163265307,45.45918367346939,46.83673469387755,49.591836734693885,55.102040816326536,66.12244897959184,88.16326530612245,132.24489795918367,89.54081632653062,90.91836734693878,93.6734693877551,99.18367346938777,110.20408163265307,132.24489795918367,176.3265306122449
Rx AFE Power,1.6530612244897958,3.3061224489795915,6.612244897959183,13.224489795918366,26.448979591836732,52.897959183673464,105.79591836734693,1.6530612244897958,3.3061224489795915,6.612244897959183,13.224489795918366,26.448979591836732,52.897959183673464,105.79591836734693,1.6530612244897958,3.3061224489795915,6.612244897959183,13.224489795918366,26.448979591836732,52.897959183673464,105.79591836734693,1.6530612244897958,3.3061224489795915,6.612244897959183,13.224489795918366,26.448979591836732,52.897959183673464,105.79591836734693,1.6530612244897958,3.3061224489795915,6.612244897959183,13.224489795918366,26.448979591836732,52.897959183673464,105.79591836734693,1.6530612244897958,3.3061224489795915,6.612244897959183,13.224489795918366,26.448979591836732,52.897959183673464,105.79591836734693,1.6530612244897958,3.3061224489795915,6.612244897959183,13.224489795918366,26.448979591836732,52.897959183673464,105.79591836734693
MRMs Area,0.0008,0.0012000000000000001,0.002,0.0036000000000000003,0.0068000000000000005,0.0132,0.026000000000000002,0.0012000000000000001,0.0016,0.0024000000000000002,0.004,0.007200000000000001,0.013600000000000001,0.0264,0.002,0.0024000000000000002,0.0032,0.0048000000000000004,0.008,0.014400000000000001,0.027200000000000002,0.0036000000000000003,0.004,0.0048000000000000004,0.0064,0.009600000000000001,0.016,0.028800000000000003,0.0068000000000000005,0.007200000000000001,0.008,0.009600000000000001,0.0128,0.019200000000000002,0.032,0.0132,0.013600000000000001,0.014400000000000001,0.016,0.019200000000000002,0.0256,0.038400000000000004,0.026000000000000002,0.0264,0.027200000000000002,0.028800000000000003,0.032,0.038400000000000004,0.0512
Crossbar Array Area,0.0064,0.0128,0.0256,0.0512,0.1024,0.2048,0.4096,0.0128,0.0256,0.0512,0.1024,0.2048,0.4096,0.8192,0.0256,0.0512,0.1024,0.2048,0.4096,0.8192,1.6384,0.0512,0.1024,0.2048,0.4096,0.8192,1.6384,3.2768,0.1024,0.2048,0.4096,0.8192,1.6384,3.2768,6.5536,0.2048,0.4096,0.8192,1.6384,3.2768,6.5536,13.1072,0.4096,0.8192,1.6384,3.2768,6.5536,13.1072,26.2144
Tx Power Splitters Area,9e-05,9e-05,9e-05,9e-05,9e-05,9e-05,9e-05,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00021,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00093,0.00189,0.00189,0.00189,0.00189,0.00189,0.00189,0.00189,0.00381,0.00381,0.00381,0.00381,0.00381,0.00381,0.00381,0.0076500000000000005,0.0076500000000000005,0.0076500000000000005,0.0076500000000000005,0.0076500000000000005,0.0076500000000000005,0.0076500000000000005
Grating Coupler Area,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
Photonic Power Single PD,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PCM OMA,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13
MRM Tx OMA,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
Power Loss Crossbar Junctions,-0.2,-0.30000000000000004,-0.5,-0.9,-1.7000000000000002,-3.3000000000000003,-6.5,-0.30000000000000004,-0.4,-0.6000000000000001,-1.0,-1.8,-3.4000000000000004,-6.6000000000000005,-0.5,-0.6000000000000001,-0.8,-1.2000000000000002,-2.0,-3.6,-6.800000000000001,-0.9,-1.0,-1.2000000000000002,-1.6,-2.4000000000000004,-4.0,-7.2,-1.7000000000000002,-1.8,-2.0,-2.4000000000000004,-3.2,-4.800000000000001,-8.0,-3.3000000000000003,-3.4000000000000004,-3.6,-4.0,-4.800000000000001,-6.4,-9.600000000000001,-6.5,-6.6000000000000005,-6.800000000000001,-7.2,-8.0,-9.600000000000001,-12.8
